&
B_ C.23_C 58.6425 167.799
1.75 3.79537 0 0.000561066
1.85 3.79537 0 0.00125057
1.95 3.79537 0 0.00264755
2.05 3.79537 0 0.00472479
2.15 3.79537 0 0.00800257
2.25 3.79537 0 0.0124922
2.35 3.79537 0 0.0187706
2.45 3.79537 0 0.0250281
2.55 3.79537 0 0.0340771
2.65 3.79537 0 0.0467966
2.75 3.79537 0 0.0613134
2.9 0.914138 0.0294118 0.180692
3.1 -0.327286 1 0.290172
3.3 -0.238293 0.904412 0.453283
3.5 -0.62117 4.25 0.692648
3.7 -0.69623 4.375 1.02155
3.95 -0.234004 4.375 2.45135
4.25 -0.319051 5.77941 3.8162
4.55 -0.294332 8.65441 4.97034
4.85 -0.212497 8.275 6.66693
&
B_ N.pl31_r 21.2328 28.1123
1.55 2.9844 0 8.96201e-05
1.65 2.9844 0 0.000265091
1.75 2.9844 0 0.000756271
1.85 2.9844 0 0.00169001
1.95 2.9844 0 0.00358184
2.05 2.9844 0 0.00639491
2.15 2.9844 0 0.0108338
2.25 2.9844 0 0.0169137
2.35 2.9844 0 0.0254162
2.45 2.9844 0 0.0338903
2.55 2.9844 0 0.0461448
2.65 2.9844 0 0.0633698
2.75 2.9844 0 0.083029
2.9 2.9844 0 0.244694
3.1 1.80283 0.05 0.392956
3.3 0.643748 0.279412 0.613846
3.5 0.915957 0.35 0.938002
3.7 0 6.05098 1.38342
3.95 0 5.21765 3.31969
4.25 -0.111184 6.99657 5.16802
4.55 0.455448 1.66324 6.73098
4.85 1.41549 0.625 9.02856
&
B_ N.pl32_N 62.6162 155.671
1.55 7.84786 0 0.000450892
1.65 7.84786 0 0.00142255
1.75 7.84786 0 0.00414244
1.85 7.84786 0 0.009313
1.95 7.84786 0 0.0197889
2.05 7.84786 0 0.0353661
2.15 7.84786 0 0.0599461
2.25 7.84786 0 0.0936136
2.35 7.84786 0 0.140696
2.45 7.84786 0 0.187621
2.55 7.84786 0 0.255479
2.65 -0.819223 1 0.350862
2.75 7.84786 0 0.459723
2.9 0 1 1.35494
3.1 7.84786 0 2.17593
3.3 0 0.708333 3.3991
3.5 0.114487 1.21667 5.19409
3.7 0 4.69234 7.66056
3.95 0 15.7779 18.3826
4.25 0.232069 8.82778 28.6176
4.55 0.262241 10.8 37.2724
4.85 0.140372 18.5931 49.9951
&
B_ N.pl32_r 1.42647 12.3996
1.55 1.01914 0 4.51182e-05
1.65 1.01914 0 0.000122514
