&
B C.23_C 58.6425 167.799
2.15 2.13876 0 0.00754286
2.25 2.13876 0 0.0117742
2.35 2.13876 0 0.0176916
2.45 2.13876 0 0.0235892
2.55 2.13876 0 0.0321177
2.65 2.13876 0 0.0441056
2.75 2.13876 0 0.0577874
2.9 2.13876 0 0.170299
3.1 -0.105864 0.6 0.273483
3.3 2.13876 0 0.427212
3.5 0 0.529412 0.65281
3.7 1.45958 0.125 0.962799
3.95 0 2.02941 2.31036
4.25 -0.00792642 4.02941 3.59671
4.55 0.147289 2.65441 4.68446
4.85 0 6.44608 6.28347
&
B O.31_st 52.1668 34.2413
1.55 4.96254 0 0.000106979
1.65 4.96254 0 0.000320705
1.75 4.96254 0 0.00091897
1.85 4.96254 0 0.00205629
1.95 -3.25674 1.31548 0.00436057
2.05 -0.708605 0.015873 0.00778693
2.15 -0.183711 0.015873 0.0131935
2.25 0 0.00793651 0.0205991
2.35 4.96254 0 0.0309552
2.45 4.96254 0 0.0412768
2.55 4.96254 0 0.0562029
2.65 4.96254 0 0.0771834
2.75 4.96254 0 0.101129
2.9 4.96254 0 0.29804
3.1 0 0.5 0.478625
3.3 -0.803119 3.11275 0.747673
3.5 -0.954936 9.02598 1.1425
3.7 -0.731014 8.568 1.68502
3.95 -0.201618 6.34167 4.04344
4.25 0 5.82941 6.29473
4.55 -0.0313786 10.2838 8.19844
4.85 0.234254 7.15 10.9969
&
B O.31_y 4.17876 23.4631
1.55 2.63307 0 7.64525e-05
1.65 2.63307 0 0.000222904
1.75 2.63307 0 0.000632852
1.85 2.63307 0 0.00141217
1.95 2.63307 0 0.00299113
2.05 2.63307 0 0.00533897
2.15 2.63307 0 0.00904374
2.25 2.63307 0 0.0141182
2.35 2.63307 0 0.0212145
2.45 2.63307 0 0.0282872
2.55 2.63307 0 0.038515
2.65 2.63307 0 0.0528914
2.75 2.63307 0 0.0692993
2.9 2.63307 0 0.204229
3.1 2.63307 0 0.327971
3.3 2.63307 0 0.51233
3.5 0.851805 0.111111 0.782877
3.7 0.132729 1 1.15463
3.95 0 2.36275 2.77069
4.25 0.552503 0.196078 4.31333
4.55 1.11504 0.279412 5.61781
4.85 1.64836 0.229412 7.53542
&
B O.co21 54.3931 67.1514
1.55 5.71632 0 0.000200187
1.65 5.71632 0 0.000619332
1.75 5.71632 0 0.0017926
1.85 5.71632 0 0.00402302
1.95 5.71632 0 0.00854201
2.05 5.71632 0 0.0152615
2.15 5.71632 0 0.0258646
2.25 5.71632 0 0.0403877
2.35 5.71632 0 0.0606974
2.45 5.71632 0 0.0809393
2.55 5.71632 0 0.110211
2.65 5.71632 0 0.151357
2.75 5.71632 0 0.198316
2.9 5.71632 0 0.584484
3.1 0.570118 0.529412 0.938634
3.3 -0.0116486 5.96324 1.46627
3.5 -0.276494 8.55147 2.24058
3.7 0 7.91912 3.30453
3.95 0.0665242 7.41765 7.92968
4.25 0 13.151 12.3447
4.55 0.412098 6.77549 16.0782
4.85 0.601574 4.08578 21.5664
&
B S.31 1.25 8.48597
1.55 0.476904 0 3.40341e-05
1.65 0.476904 0 8.70017e-05
1.75 0.476904 0 0.000235269
1.85 0.476904 0 0.000517128
1.95 0.476904 0 0.0010882
2.05 0.476904 0 0.00193734
2.15 0.476904 0 0.00327726
2.25 0.476904 0 0.00511256
2.35 0.476904 0 0.0076791
2.45 0.476904 0 0.0102371
2.55 0.476904 0 0.0139362
2.65 0.476904 0 0.0191358
2.75 0.476904 0 0.0250701
2.9 0.476904 0 0.0738703
3.1 0.476904 0 0.118625
3.3 0.476904 0 0.185302
3.5 0 0.25 0.283152
3.7 0.476904 0 0.417604
3.95 0.476904 0 1.00209
4.25 0.476904 0 1.56002
4.55 0.275166 0.5 2.03182
4.85 0.246426 0.5 2.72536
&
B S.32 3.41667 12.2759
1.55 1.04729 0 4.47679e-05
1.65 1.04729 0 0.000121391
1.75 1.04729 0 0.000335876
1.85 1.04729 0 0.000743617
1.95 1.04729 0 0.00156973
2.05 1.04729 0 0.00279811
2.15 1.04729 0 0.00473645
2.25 1.04729 0 0.0073914
2.35 1.04729 0 0.0111042
2.45 1.04729 0 0.0148046
2.55 1.04729 0 0.0201558
2.65 1.04729 0 0.0276775
2.75 1.04729 0 0.0362621
2.9 1.04729 0 0.106857
3.1 1.04729 0 0.171599
3.3 1.04729 0 0.268056
3.5 -0.081265 0.5 0.409605
3.7 1.04729 0 0.604106
3.95 0.603148 0.166667 1.44963
4.25 1.04729 0 2.25674
4.55 0.0496892 0.75 2.93924
4.85 0.0337857 2 3.94253
&
B c.33 20.1716 29.4048
1.55 3.27426 0 9.32807e-05
1.65 3.27426 0 0.00027682
1.75 3.27426 0 0.000790582
1.85 3.27426 0 0.00176726
1.95 3.27426 0 0.00374607
2.05 3.27426 0 0.00668846
2.15 3.27426 0 0.0113314
2.25 3.27426 0 0.0176909
2.35 3.27426 0 0.0265843
2.45 3.27426 0 0.035448
2.55 3.27426 0 0.0482659
2.65 3.27426 0 0.0662829
2.75 3.27426 0 0.0868459
2.9 3.27426 0 0.255944
3.1 3.27426 0 0.411023
3.3 3.27426 0 0.642069
3.5 3.27426 0 0.981128
3.7 0.207905 0.0294118 1.44702
3.95 0.614975 0.0294118 3.47232
4.25 0.633151 0.779412 5.40563
4.55 0 6.08333 7.04045
4.85 -0.327723 13.25 9.44366
&
C.11 C.23_C 63.7068 81.0327
1.55 6.2786 0 0.000915541
1.65 6.2786 0 0.00393299
1.75 6.2786 0 0.0114196
1.85 6.2786 0 0.0304685
1.95 6.2786 0 0.0698266
2.05 6.2786 0 0.121731
2.15 6.2786 0 0.174133
2.25 6.2786 0 0.250297
2.35 6.2786 0 0.339262
2.45 6.2786 0 0.459708
2.55 6.2786 0 0.558325
2.65 6.2786 0 0.723325
2.75 6.2786 0 0.847877
2.9 6.2786 0 2.16612
3.1 1.56823 0.0614035 3.00505
3.3 0.117235 3.13377 3.92059
3.5 0 4.21335 5.11187
3.7 0 5.49843 6.35996
3.95 0.0524273 11.7127 13.8073
4.25 0.376394 9.35689 14.9031
4.55 -0.204449 17.8394 13.3725
4.85 0.0147916 11.8908 14.7952
&
C.11 C.23_de 8.25163 16.0082
1.55 1.62967 0 0.000188892
1.65 1.62967 0 0.000784995
1.75 1.62967 0 0.00226399
1.85 1.62967 0 0.00602714
1.95 1.62967 0 0.0138024
2.05 1.62967 0 0.0240562
2.15 1.62967 0 0.0344085
2.25 1.62967 0 0.0494548
2.35 1.62967 0 0.0670299
2.45 1.62967 0 0.0908245
2.55 1.62967 0 0.110306
2.65 1.62967 0 0.142903
2.75 1.62967 0 0.167508
2.9 1.62967 0 0.427931
3.1 1.62967 0 0.593663
3.3 1.62967 0 0.774529
3.5 1.62967 0 1.00987
3.7 0.963907 0.00877193 1.25643
3.95 1.62967 0 2.72768
4.25 0.298187 2 2.94416
4.55 -0.231738 4.44286 2.64177
4.85 0 1.8 2.92283
&
C.11 C.23_nq 5.30514 9.91547
1.55 0.680487 0 0.000120805
1.65 0.680487 0 0.000490031
1.75 0.680487 0 0.00140612
1.85 0.680487 0 0.00373701
1.95 0.680487 0 0.00855303
2.05 0.680487 0 0.0149042
2.15 0.680487 0 0.0213164
2.25 0.680487 0 0.0306361
2.35 0.680487 0 0.0415221
2.45 0.680487 0 0.0562605
2.55 0.680487 0 0.0683275
2.65 0.22066 0.00877193 0.0885175
2.75 0.680487 0 0.103758
2.9 0.680487 0 0.265064
3.1 0.680487 0 0.367718
3.3 0.583681 0.0175439 0.479747
3.5 0.182508 0.157895 0.625517
3.7 0.084116 0.289474 0.778238
3.95 0.0218245 1.11654 1.68953
4.25 0 1.39474 1.82361
4.55 0.509829 0.0526316 1.63631
4.85 -0.117469 2.26754 1.8104
&
C.11 C.23_r 8.83333 6.97395
1.55 0.524275 0 8.79339e-05
1.65 0.524275 0 0.000347625
1.75 0.524275 0 0.000991945
1.85 0.524275 0 0.00263136
1.95 0.524275 0 0.00601865
2.05 0.524275 0 0.0104857
2.15 0.524275 0 0.0149956
2.25 0.524275 0 0.0215506
2.35 0.524275 0 0.0292071
2.45 0.524275 0 0.0395732
2.55 0.524275 0 0.0480604
2.65 0.524275 0 0.0622609
2.75 0.524275 0 0.0729803
2.9 0.524275 0 0.186433
3.1 0.524275 0 0.258634
3.3 0.524275 0 0.337428
3.5 0.104118 0.333333 0.439954
3.7 -0.25332 2.66667 0.547369
3.95 0 1.5 1.18831
4.25 0.35951 0.333333 1.28262
4.55 -0.263158 2 1.15089
4.85 -0.00482084 2 1.27333
&
C.11 C.31 116.172 94.4716
1.55 7.35801 0 0.00106572
1.65 7.35801 0 0.00458359
1.75 7.35801 0 0.0133118
1.85 7.35801 0 0.0355199
1.95 7.35801 0 0.0814054
2.05 7.35801 0 0.141917
2.15 7.35801 0 0.203011
2.25 7.35801 0 0.291806
2.35 7.35801 0 0.395525
